active_zones = ,1,16,61,62,68,69,70,21,22,23,24,25,26,27,60,90,91,92,93,96,59
Fsed_oxy = ,0,-40,-15,-20,-5,0,-10,-42,-39,-37,-36,-34,-30,-25,-10,-5,-5,-5,-5,-8,0
Fsed_rsi = ,0,3,3,3,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Fsed_frp = ,0,0.3,0.1,0.15,0,0,0,0.27,0.23,0.21,0.2,0.18,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.35,0
Fsed_amm = ,0,0.45,0.15,0.15,0,0,-0.01,0.45,0.4,0.35,0.3,0.25,0.2,0.5,-0.06,-0.06,-0.06,-0.06,-0.06,0.5,0
Fsed_nit = ,0,1.3,0.5,0.5,0,0,-0.03,0.75,0.7,0.65,0.6,0.5,0.4,0.25,-0.18,-0.18,-0.18,-0.18,-0.18,0.2,0
Fsed_doc = ,0,-52,-20,-20,0,0,0,-60,-52,-52,-52,-44.8,-40,-32,0,0,0,0,0,0,0
Fsed_don = ,0,-5.2,-0.8,-2,0,0,0,-6,-5.2,-5.2,-5.2,-4.48,-4,-3.2,-5,-5,-5,-5,-5,0,0
Fsed_dop = ,0,-0.4,-0.16,-0.16,0,0,0,-0.44,-0.4,-0.4,-0.4,-0.36,-0.32,-0.24,0,0,0,0,0,0,0
Fsed_pon = ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsed_pop = ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fsed_poc = ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0